date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/9/2020,ARKG,"INVITAE CORP",NVTA,46185L103,6276325.00,277601854.75,8.88
11/9/2020,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2707937.00,269845922.05,8.63
11/9/2020,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,16159135.00,239963154.75,7.68
11/9/2020,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,1772158.00,169648685.34,5.43
11/9/2020,ARKG,"CAREDX INC",CDNA,14167L103,2334084.00,121792503.12,3.90
11/9/2020,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,3103085.00,121516808.60,3.89
11/9/2020,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3567728.00,118591278.72,3.79
11/9/2020,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,911485.00,112258492.60,3.59
11/9/2020,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3159395.00,109346660.95,3.50
11/9/2020,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,613753.00,109235758.94,3.49
11/9/2020,ARKG,"PERSONALIS INC",PSNL,71535D106,4171280.00,105157968.80,3.36
11/9/2020,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,1807703.00,91632465.07,2.93
11/9/2020,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4704175.00,83452064.50,2.67
11/9/2020,ARKG,"VERACYTE INC",VCYT,92337F107,1887467.00,82991923.99,2.66
11/9/2020,ARKG,"CELLECTIS - ADR",CLLS,15117K103,4631155.00,82897674.50,2.65
11/9/2020,ARKG,"COMPUGEN LTD",CGEN,M25722105,6069487.00,78053602.82,2.50
11/9/2020,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2409636.00,69228842.28,2.21
11/9/2020,ARKG,"INCYTE CORP",INCY,45337C102,815250.00,66263520.00,2.12
11/9/2020,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2026424.00,61623553.84,1.97
11/9/2020,ARKG,"ILLUMINA INC",ILMN,452327109,199162.00,60881831.78,1.95
