date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/9/2020,ARKW,"TESLA INC",TSLA,88160R101,675882.00,284722051.32,9.03
11/9/2020,ARKW,"ROKU INC",ROKU,77543R102,922020.00,204605458.20,6.49
11/9/2020,ARKW,"SQUARE INC - A",SQ,852234103,970567.00,178661973.36,5.67
11/9/2020,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,424672.00,116445062.40,3.69
11/9/2020,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1191802.00,93627965.12,2.97
11/9/2020,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,5200344.00,92254102.56,2.93
11/9/2020,ARKW,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,3509293.00,90504666.47,2.87
11/9/2020,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,499628.00,88923791.44,2.82
11/9/2020,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,5201877.00,88900077.93,2.82
11/9/2020,ARKW,"LENDINGTREE INC","TREE UW",52603B107,283658.00,85315816.66,2.71
11/9/2020,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1474407.00,85147004.25,2.70
11/9/2020,ARKW,"PAGERDUTY INC",PD,69553P100,2812455.00,81870565.05,2.60
11/9/2020,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,293764.00,81892590.28,2.60
11/9/2020,ARKW,"SNAP INC - A",SNAP,83304A106,1882490.00,77370339.00,2.45
11/9/2020,ARKW,"TWILIO INC - A",TWLO,90138F102,279326.00,76535324.00,2.43
11/9/2020,ARKW,"SEA LTD-ADR",SE,81141R100,416192.00,70369743.36,2.23
11/9/2020,ARKW,"HUYA INC-ADR",HUYA,44852D108,3250973.00,68335452.46,2.17
11/9/2020,ARKW,"VERACYTE INC",VCYT,92337F107,1533121.00,67411330.37,2.14
11/9/2020,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,630752.00,65673898.24,2.08
11/9/2020,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,652221.00,64061146.62,2.03
11/9/2020,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,213783.00,62110374.99,1.97
11/9/2020,ARKW,"NETFLIX INC",NFLX,64110L106,130499.00,61399779.50,1.95
11/9/2020,ARKW,"2U INC",TWOU,90214J101,1917712.00,60331219.52,1.91
11/9/2020,ARKW,"SPLUNK INC",SPLK,848637104,271371.00,53275554.72,1.69
11/9/2020,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,765662.00,53435550.98,1.69
11/9/2020,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,279923.00,51707376.56,1.64
11/9/2020,ARKW,"MERCADOLIBRE INC",MELI,58733R102,33448.00,44509922.56,1.41
