date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/12/2020,ARKW,"TESLA INC",TSLA,88160R101,702321.00,289187694.96,8.80
11/12/2020,ARKW,"ROKU INC",ROKU,77543R102,1032069.00,238304732.10,7.25
11/12/2020,ARKW,"SQUARE INC - A",SQ,852234103,1008535.00,180033582.85,5.48
11/12/2020,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,441283.00,114155499.27,3.47
11/12/2020,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,554940.00,103768230.60,3.16
11/12/2020,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,5405306.00,98592781.44,3.00
11/12/2020,ARKW,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,3646530.00,94408661.70,2.87
11/12/2020,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,5403731.00,93970882.09,2.86
11/12/2020,ARKW,"LENDINGTREE INC","TREE UW",52603B107,294767.00,93052046.56,2.83
11/12/2020,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1532073.00,92322718.98,2.81
11/12/2020,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1238422.00,90776332.60,2.76
11/12/2020,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,305251.00,83968445.08,2.56
11/12/2020,ARKW,"PAGERDUTY INC",PD,69553P100,2812455.00,84148653.60,2.56
11/12/2020,ARKW,"TWILIO INC - A",TWLO,90138F102,290246.00,82914574.82,2.52
11/12/2020,ARKW,"SNAP INC - A",SNAP,83304A106,1956116.00,78831474.80,2.40
11/12/2020,ARKW,"SEA LTD-ADR",SE,81141R100,432467.00,77312125.59,2.35
11/12/2020,ARKW,"VERACYTE INC",VCYT,92337F107,1593076.00,73855003.36,2.25
11/12/2020,ARKW,"HUYA INC-ADR",HUYA,44852D108,3378109.00,72156408.24,2.20
11/12/2020,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,677736.00,66628226.16,2.03
11/12/2020,ARKW,"NETFLIX INC",NFLX,64110L106,135602.00,66006985.54,2.01
11/12/2020,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,606760.00,65178159.20,1.98
11/12/2020,ARKW,"2U INC",TWOU,90214J101,1917712.00,61673617.92,1.88
11/12/2020,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,795608.00,60657153.92,1.85
11/12/2020,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,222141.00,58714087.71,1.79
11/12/2020,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,290885.00,55006353.50,1.67
11/12/2020,ARKW,"MERCADOLIBRE INC",MELI,58733R102,34750.00,45036000.00,1.37
11/12/2020,ARKW,"HUBSPOT INC",HUBS,443573100,125470.00,44349880.90,1.35
11/12/2020,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,58616.00,43375840.00,1.32
11/12/2020,ARKW,"SOCIAL CAPITAL HEDOSOPHIA-A",IPOB,G8250T109,2316937.00,41426833.56,1.26
11/12/2020,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,294015.00,40368259.50,1.23
11/12/2020,ARKW,"AMAZON.COM INC",AMZN,023135106,12435.00,38676331.80,1.18
11/12/2020,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,422064.00,37909788.48,1.15
11/12/2020,ARKW,"UNITY SOFTWARE INC",U,91332U101,359071.00,36531883.54,1.11
11/12/2020,ARKW,"SPLUNK INC",SPLK,848637104,187829.00,36016210.75,1.10
11/12/2020,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,561802.00,36039598.30,1.10
11/12/2020,ARKW,"DOCUSIGN INC",DOCU,256163106,169181.00,35971264.22,1.09
11/12/2020,ARKW,"ADYEN NV-UNSPON ADR",ADYEY,00783V104,873926.00,33689847.30,1.03
11/12/2020,ARKW,"JD.COM INC-ADR",JD,47215P106,384091.00,33177780.58,1.01
11/12/2020,ARKW,"NVIDIA CORP",NVDA,67066G104,60915.00,32788717.05,1.00
11/12/2020,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,169926.00,32795718.00,1.00
